Invoice No,Order No,Sales Rep Name,SITE,S Date,Ship to Country,Market Segment,Quantity,Unit Cost,Unit Price,Total Profit USD,Total Cost USD,Total Value USD,,,
24400882,24200695,SGOY,T,2024-05-08,CA,PO,24,8.4696,52.32,"$1,106",$149,1256,,,
24400883,24200701,SGOY,T,2024-05-08,CA,PI,16,15.2256,107.88,"$1,547",$179,1726,,,
24400884,24200709,SGOY,T,2024-05-08,CA,PO,10,26.048,178.76,"$1,596",$192,1788,,,
24400885,24200715,AMIN,T,2024-05-08,CA,PR,12,8.8967,50.66,$529,$79,608,,,
24400886,24200720,SGOY,T,2024-05-08,CA,PO,8,5.3188,40.12,$290,$31,321,,,
24400887,24200727,JAKI,T,2024-05-08,CA,NW,12,15.8783,110.64,"$1,188",$140,1328,,,
24400887,24200727,JAKI,T,2024-05-08,CA,NW,24,23.3617,80.6,"$1,522",$412,1934,,,
316896,24250143,WMOR,D,2024-05-08,S(,TR,2,30.275,63.093,$48,$45,92,,,
316896,24250143,WMOR,D,2024-05-08,S(,TR,16,17.76,83.873,$771,$209,980,,,
316899,24250133,WMOR,D,2024-05-08,CA,TE,6000,0.65,2.25,"$10,632","$2,868",13500,,,
316900,24250202,DGAS,D,2024-05-08,US,PM,8,495.945,1991.804,"$8,723","$2,917",11640,,,
24001612,23101778,BHOU,B,2024-05-07,AU,IC,142,43.68,84.68,"$5,822","$6,203",12025,,,
24001613,23102309,BHOU,B,2024-05-07,AU,IC,6,92.6,140.06,$285,$556,840,,,
24001614,23102878,BHOU,B,2024-05-07,AU,IC,40,93.95,171.18,"$3,089","$3,758",6847,,,
24001614,23102878,BHOU,B,2024-05-07,AU,IC,300,41.9,66.01,"$7,233","$12,570",19803,,,
24001615,23103143,BHOU,B,2024-05-07,AU,IC,25,93.95,171.18,"$1,931","$2,349",4280,,,
24001616,24100068,FBER,B,2024-05-07,US,TR,1512,9.8184,14.79,"$7,517","$14,845",22362,,,
24001616,24100068,FBER,B,2024-05-07,US,TR,1,0,0,$0,$0,0,,,
24001616,24100068,FBER,B,2024-05-07,US,TR,1008,9.8184,14.79,"$5,011","$9,897",14908,,,
24001616,24100068,FBER,B,2024-05-07,US,TR,1,0,0,$0,$0,0,,,
24001617,24100195,DGAS,B,2024-05-07,US,NM,87,19.5284,30.38,$944,"$1,699",2643,,,
24001617,24100195,DGAS,B,2024-05-07,US,NM,1,0,0,$0,$0,0,,,
24001618,24100545,FBER,B,2024-05-07,US,TR,190,11.3223,18.37,"$1,339","$2,151",3490,,,
24001618,24100545,FBER,B,2024-05-07,US,TR,1,0,0,$0,$0,0,,,
24001619,24101136,FBER,B,2024-05-07,US,TR,25,119.9088,156,$902,"$2,998",3900,,,
24001619,24101136,FBER,B,2024-05-07,US,TR,1,0,0,$0,$0,0,,,
24001620,24100196,FBER,B,2024-05-07,US,TR,50,10.062,8.86,-$60,$503,443,,,
24001620,24100196,FBER,B,2024-05-07,US,TR,1,0,0,$51,$0,51,,,
24001621,24100839,SBEA,B,2024-05-07,US,TA,500,6.23,18.49,"$6,130","$3,115",9245,,,
24001621,24100839,SBEA,B,2024-05-07,US,TA,1,0,0,$0,$0,0,,,
24001622,24100889,OGAL,B,2024-05-07,US,TR,24,10.0621,9.5,-$13,$241,228,,,
24001622,24100889,OGAL,B,2024-05-07,US,TR,1,0,0,$33,$0,33,,,
24001623,23102714,DGAS,B,2024-05-07,US,PV,275,1.2309,3.28,$564,$339,902,,,
24001623,23102714,DGAS,B,2024-05-07,US,PV,1,0,0,$0,$0,0,,,
24001624,23103038,DGAS,B,2024-05-07,US,PV,550,0.8937,2.72,"$1,004",$492,1496,,,
24001624,23103038,DGAS,B,2024-05-07,US,PV,1,0,0,$0,$0,0,,,
24001625,23103198,DGAS,B,2024-05-07,US,PM,500,20.6397,41.46,"$10,410","$10,320",20730,,,
24001625,23103198,DGAS,B,2024-05-07,US,PM,1,0,0,$0,$0,0,,,
24001626,23103279,MWIS,B,2024-05-07,US,PI,144,29.3486,63.8,"$4,961","$4,226",9187,,,
24001626,23103279,MWIS,B,2024-05-07,US,PI,1,0,0,$615,$0,615,,,
24001627,23103495,BHOU,B,2024-05-07,US,TC,800,17.6982,20.57,"$2,297","$14,159",16456,,,
24001628,24100407,KTIE,B,2024-05-07,US,NW,1200,25.021,42.82,"$21,359","$30,025",51384,,,
24001629,24100528,MRHO,B,2024-05-07,US,PS,10,6.9,12.11,$52,$69,121,,,
24001629,24100528,MRHO,B,2024-05-07,US,PS,1,0,0,$0,$0,0,,,
24001630,24100604,MWIS,B,2024-05-07,US,PV,24,2.1838,9,$164,$52,216,,,
24001630,24100604,MWIS,B,2024-05-07,US,PV,24,5.0138,9.71,$113,$120,233,,,
24001630,24100604,MWIS,B,2024-05-07,US,PV,1,0,0,$0,$0,0,,,
24001631,24100747,MRHO,B,2024-05-07,US,PS,100,3.2624,4.17,$91,$326,417,,,
24001631,24100747,MRHO,B,2024-05-07,US,PS,1,0,0,$0,$0,0,,,
24001632,24100748,MRHO,B,2024-05-07,US,PS,100,3.192,3.37,$18,$319,337,,,
24001632,24100748,MRHO,B,2024-05-07,US,PS,1,0,0,$0,$0,0,,,
24001633,24100749,FBER,B,2024-05-07,US,PC,82,18.1401,62.44,"$3,633","$1,487",5120,,,
24001633,24100749,FBER,B,2024-05-07,US,PC,1,0,0,$120,$0,120,,,
24001634,24100949,MRHO,B,2024-05-07,US,PI,30,5.458,17.68,$367,$164,530,,,
24001634,24100949,MRHO,B,2024-05-07,US,PI,1,0,0,$0,$0,0,,,
24001635,24100985,MRHO,B,2024-05-07,US,PS,25,4.432,7.52,$77,$111,188,,,
24001635,24100985,MRHO,B,2024-05-07,US,PS,1,0,0,$0,$0,0,,,
24001636,24101115,DGAS,B,2024-05-07,US,PP,12,3.7375,15.18,$137,$45,182,,,
24001636,24101115,DGAS,B,2024-05-07,US,PP,16,7.3619,18.38,$176,$118,294,,,
24001636,24101115,DGAS,B,2024-05-07,US,PP,1,0,0,$0,$0,0,,,
24001637,24101116,MRHO,B,2024-05-07,US,PI,24,3.085,16.88,$331,$74,405,,,
24001637,24101116,MRHO,B,2024-05-07,US,PI,1,0,0,$0,$0,0,,,
24001638,24101131,MRHO,B,2024-05-07,US,PI,24,6.0471,24.91,$453,$145,598,,,
24001638,24101131,MRHO,B,2024-05-07,US,PI,1,0,0,$0,$0,0,,,
24001639,24101153,BHOU,B,2024-05-07,CA,IC,10,20.553,36.91,$164,$206,369,,,
24001640,24101173,DGAS,B,2024-05-07,US,PO,6,1.2283,26.51,$152,$7,159,,,
24001640,24101173,DGAS,B,2024-05-07,US,PO,2,103.4,269.74,$333,$207,539,,,
24001640,24101173,DGAS,B,2024-05-07,US,PO,1,0,0,$0,$0,0,,,
24400872,24200120,SBEA,T,2024-05-07,US,TA,409,2.4596,24.681,"$6,635",$740,7374,,,
24400872,24200120,SBEA,T,2024-05-07,US,TA,21,2.4595,24.681,$341,$38,379,,,
24400873,24200221,SBEA,T,2024-05-07,US,TA,117,2.4596,37.261,"$2,973",$212,3185,,,
24400873,24200221,SBEA,T,2024-05-07,US,TA,33,2.4597,37.261,$839,$60,898,,,
24400874,24200366,OGAL,T,2024-05-07,CA,PO,100,8.0229,11.03,$513,$590,1103,,,
24400875,24200451,AMIN,T,2024-05-07,CA,PO,64,4.0175,13.18,$654,$189,844,,,
24400876,24200652,AMIN,T,2024-05-07,CA,OL,75,7.3472,13.67,$620,$405,1025,,,
24400877,24200653,AMIN,T,2024-05-07,CA,OL,50,7.4308,13.28,$391,$273,664,,,
24400878,24200729,AMIN,T,2024-05-07,CA,TP,4,10.405,95.61,$352,$31,382,,,
316893,23250295,SBEA,D,2024-05-07,UK,TA,62,61.234,124.679,"$2,855","$2,792",5647,,,
316894,23250543,WMOR,D,2024-05-07,CA,TE,1,207.54,608.15,$456,$153,608,,,
316895,23250835,MRHO,D,2024-05-07,US,PO,40,22.8928,55.126,$937,$673,1611,,,
316897,24250213,OGAL,D,2024-05-07,US,PO,30,12.3747,73.551,"$1,339",$273,1612,,,
316901,24250326,SGOY,D,2024-05-07,CA,PO,4,23.0275,64,$188,$68,256,,,
316901,24250326,SGOY,D,2024-05-07,CA,PO,1,0.01,0,$0,$0,0,,,
24001595,24100869,GXAV,B,2024-05-06,US,TR,10,22.084,246.48,"$2,244",$221,2465,,,
24001595,24100869,GXAV,B,2024-05-06,US,TR,10,0,0,$0,$0,0,,,
24001595,24100869,GXAV,B,2024-05-06,US,TR,10,0,0,$0,$0,0,,,
24001595,24100869,GXAV,B,2024-05-06,US,TR,0.2,0,0,$0,$0,0,,,
24001596,24100960,KTIE,B,2024-05-06,VI,NW,100,9.3233,25.7,"$1,638",$932,2570,,,
24001597,24100064,BHOU,B,2024-05-06,US,TC,4000,1.1663,1.74,"$2,295","$4,665",6960,,,
24001597,24100064,BHOU,B,2024-05-06,US,TC,4000,1.1663,1.74,"$2,295","$4,665",6960,,,
24001598,24100120,FBER,B,2024-05-06,US,PS,500,3.7385,19.66,"$7,961","$1,869",9830,,,
24001598,24100120,FBER,B,2024-05-06,US,PS,1,0,0,$164,$0,164,,,
24001599,24100124,BHOU,B,2024-05-06,US,TC,120,2.4528,5.87,$410,$294,704,,,
24001600,24100204,MWIS,B,2024-05-06,US,PS,250,1.0491,11.23,"$2,545",$262,2808,,,
24001600,24100204,MWIS,B,2024-05-06,US,PS,1,0,16.63,$17,$0,17,,,
24001601,24100662,MRHO,B,2024-05-06,US,PO,20,12.548,50.75,$764,$251,1015,,,
24001601,24100662,MRHO,B,2024-05-06,US,PO,1,0,0,$0,$0,0,,,
24001602,24100726,MWIS,B,2024-05-06,US,PO,100,1.1806,5.9,$472,$118,590,,,
24001602,24100726,MWIS,B,2024-05-06,US,PO,100,4.8465,19.21,"$1,436",$485,1921,,,
24001602,24100726,MWIS,B,2024-05-06,US,PO,24,3.6283,12.82,$221,$87,308,,,
24001602,24100726,MWIS,B,2024-05-06,US,PO,1,0,0,$0,$0,0,,,
24001603,24100815,SBEA,B,2024-05-06,US,TA,100,3.1182,28.18,"$2,506",$312,2818,,,
24001603,24100815,SBEA,B,2024-05-06,US,TA,1,0,0,$0,$0,0,,,
24001604,24100824,DGAS,B,2024-05-06,US,PP,10,13.594,32.23,$186,$136,322,,,
24001604,24100824,DGAS,B,2024-05-06,US,PP,1,0,0,$0,$0,0,,,
24001605,24100849,DGAS,B,2024-05-06,US,PP,24,9.4779,23.83,$344,$227,572,,,
24001605,24100849,DGAS,B,2024-05-06,US,PP,25,14.8632,42.39,$688,$372,1060,,,
24001605,24100849,DGAS,B,2024-05-06,US,PP,1,0,0,$0,$0,0,,,
24001606,24100870,DGAS,B,2024-05-06,US,PV,24,4.7488,17.05,$295,$114,409,,,
24001606,24100870,DGAS,B,2024-05-06,US,PV,1,0,0,$0,$0,0,,,
24001607,24100911,DGAS,B,2024-05-06,US,PP,8,14.8888,29.33,$116,$119,235,,,
24001607,24100911,DGAS,B,2024-05-06,US,PP,1,0,0,$0,$0,0,,,
24001608,24100930,DGAS,B,2024-05-06,US,PP,12,9.5517,25.14,$187,$115,302,,,
24001608,24100930,DGAS,B,2024-05-06,US,PP,1,0,0,$0,$0,0,,,
24001609,24100945,MRHO,B,2024-05-06,US,PS,10,7.157,43.42,$363,$72,434,,,
24001609,24100945,MRHO,B,2024-05-06,US,PS,1,0,0,$0,$0,0,,,
24001610,24101007,MWIS,B,2024-05-06,US,PS,100,21.1709,109.65,"$8,848","$2,117",10965,,,
24001611,24101263,OGAL,B,2024-05-06,US,TR,55,156.2022,239.77,"$4,596","$8,591",13187,,,
24001611,24101263,OGAL,B,2024-05-06,US,TR,1,0,452.98,$453,$0,453,,,
24400863,23201828,SBEA,T,2024-05-06,US,TA,92,21.0749,26.789,$375,"$1,426",1800,,,
24400863,23201828,SBEA,T,2024-05-06,US,TA,115,21.0749,26.789,$468,"$1,782",2251,,,
24400863,23201828,SBEA,T,2024-05-06,US,TA,110,21.0749,26.789,$448,"$1,705",2153,,,
24400863,23201828,SBEA,T,2024-05-06,US,TA,105,21.0749,26.789,$428,"$1,627",2055,,,
24400863,23201828,SBEA,T,2024-05-06,US,TA,78,21.0749,26.789,$318,"$1,209",1526,,,
24400864,24200265,SGOY,T,2024-05-06,CA,OL,1000,4.4716,12.28,"$8,992","$3,288",12280,,,
24400865,24200493,JAKI,T,2024-05-06,CA,NW,12,119.505,137.45,$595,"$1,054",1649,,,
24400866,24200615,SGOY,T,2024-05-06,CA,PM,10,12.584,105.4,$961,$93,1054,,,
24400867,24200644,SGOY,T,2024-05-06,CA,OM,50,15.7384,85.47,"$3,695",$579,4274,,,
24400868,24200666,AMIN,T,2024-05-06,CA,OL,50,9.2722,16.91,$505,$341,846,,,
24400869,24200667,AMIN,T,2024-05-06,CA,OL,50,12.4096,18.38,$463,$456,919,,,
24400870,24200680,SGOY,T,2024-05-06,CA,PO,12,13.0767,105.65,"$1,152",$115,1268,,,
24400871,24200706,OGAL,T,2024-05-06,CA,NH,2,14.005,165,$309,$21,330,,,
24400871,24200706,OGAL,T,2024-05-06,CA,NH,12,21.8058,104.35,"$1,060",$192,1252,,,
316890,24250313,DGAS,D,2024-05-06,US,OE,24,12.9054,40.232,$478,$228,705,,,
316892,24250356,OGAL,D,2024-05-06,US,NH,50,8.2426,0,-$303,$303,0,,,
316892,24250356,OGAL,D,2024-05-06,US,NH,70,7.6607,0,-$394,$394,0,,,
316898,24250360,SGOY,D,2024-05-06,CA,PO,7,122.3843,571.5,"$3,371",$630,4001,,,
316898,24250360,SGOY,D,2024-05-06,CA,PO,7,0.01,0,$0,$0,0,,,
24001576,24100068,FBER,B,2024-05-03,US,TR,2952,9.8184,14.79,"$14,676","$28,984",43660,,,
24001577,24100653,MRHO,B,2024-05-03,US,NT,5,43.526,169.44,$630,$218,847,,,
24001577,24100653,MRHO,B,2024-05-03,US,NT,5,44.388,169.44,$625,$222,847,,,
24001578,24100957,FBER,B,2024-05-03,US,TR,100,4.1354,4.91,$77,$414,491,,,
24001578,24100957,FBER,B,2024-05-03,US,TR,1,0,0,$0,$0,0,,,
24001579,24100998,FBER,B,2024-05-03,US,TR,50,4.1354,4.91,$39,$207,246,,,
24001579,24100998,FBER,B,2024-05-03,US,TR,1,0,0,$0,$0,0,,,
24001580,24101043,FBER,B,2024-05-03,US,TR,50,4.1354,4.91,$39,$207,246,,,
24001580,24101043,FBER,B,2024-05-03,US,TR,1,0,0,$0,$0,0,,,
24001581,24101127,FBER,B,2024-05-03,US,TR,50,4.1354,4.91,$39,$207,246,,,
24001581,24101127,FBER,B,2024-05-03,US,TR,1,0,0,$0,$0,0,,,
24001582,24101156,GXAV,B,2024-05-03,US,TR,2,0,980,"$1,960",$0,1960,,,
24001583,24101157,GXAV,B,2024-05-03,US,TR,2,0,980,"$1,960",$0,1960,,,
24001584,24100616,MRHO,B,2024-05-03,US,NT,50,12.0918,42.63,"$1,527",$605,2132,,,
24001584,24100616,MRHO,B,2024-05-03,US,NT,1,0,0,$295,$0,295,,,
24001585,24101128,MWIS,B,2024-05-03,US,OL,24,7.8313,15,$172,$188,360,,,
24001585,24101128,MWIS,B,2024-05-03,US,OL,1,0,0,$0,$0,0,,,
24001586,23103069,MRHO,B,2024-05-03,US,PS,1000,2.3884,5.9,"$3,512","$2,388",5900,,,
24001586,23103069,MRHO,B,2024-05-03,US,PS,1,0,0,$0,$0,0,,,
24001587,23103187,MRHO,B,2024-05-03,US,PO,100,10.7658,14.68,$391,"$1,077",1468,,,
24001587,23103187,MRHO,B,2024-05-03,US,PO,1,0,0,$0,$0,0,,,
24001588,23103375,MRHO,B,2024-05-03,US,PS,250,2.3222,2.43,$27,$581,608,,,
24001588,23103375,MRHO,B,2024-05-03,US,PS,1,0,0,$0,$0,0,,,
24001589,24100214,KTIE,B,2024-05-03,US,NW,200,19.3466,75.26,"$11,183","$3,869",15052,,,
24001590,24100412,KTIE,B,2024-05-03,US,NW,1000,18.1435,55.79,"$37,647","$18,144",55790,,,
24001591,24100532,MRHO,B,2024-05-03,US,PS,50,3.5184,5.32,$90,$176,266,,,
24001591,24100532,MRHO,B,2024-05-03,US,PS,1,0,0,$0,$0,0,,,
24001592,24101132,DGAS,B,2024-05-03,US,PP,50,9.7924,18.47,$434,$490,924,,,
24001592,24101132,DGAS,B,2024-05-03,US,PP,1,0,0,$36,$0,36,,,
24001593,24101135,KTIE,B,2024-05-03,US,NW,36,8.8489,57.55,"$1,753",$319,2072,,,
24001593,24101135,KTIE,B,2024-05-03,US,NW,10,15.617,79.25,$636,$156,793,,,
24001593,24101135,KTIE,B,2024-05-03,US,NW,1,0,0,$71,$0,71,,,
24001594,24101232,BHOU,B,2024-05-03,CA,IC,10,46.483,64.24,$178,$465,642,,,
24001594,24101232,BHOU,B,2024-05-03,CA,IC,10,62.869,85.03,$222,$629,850,,,
24001594,24101232,BHOU,B,2024-05-03,CA,IC,80,0.5,0.69,$15,$40,55,,,
24001594,24101232,BHOU,B,2024-05-03,CA,IC,6,24.035,34.56,$63,$144,207,,,
24400856,24200011,SBEA,T,2024-05-03,US,TA,100,45.2323,113.865,"$4,992","$3,326",8318,,,
24400857,24200163,SBEA,T,2024-05-03,US,TA,416,2.8941,24.325,"$6,507",$885,7392,,,
24400857,24200163,SBEA,T,2024-05-03,US,TA,14,2.8943,24.325,$219,$30,249,,,
24400858,24200389,SBEA,T,2024-05-03,US,TA,53,0.8219,11.129,$399,$32,431,,,
24400858,24200389,SBEA,T,2024-05-03,US,TA,47,0.8219,11.129,$354,$28,382,,,
24400859,24200656,AMIN,T,2024-05-03,CA,PR,40,16.3665,124.16,"$4,485",$481,4966,,,
24400860,24200658,AMIN,T,2024-05-03,CA,PM,6,22.6683,104.1,$525,$100,625,,,
24400860,24200658,AMIN,T,2024-05-03,CA,PM,3,14.4367,50,$118,$32,150,,,
24400861,24200662,AMIN,T,2024-05-03,CA,PM,4,20.2675,43.1,$113,$60,172,,,
24400862,24200674,AMIN,T,2024-05-03,CA,PM,12,10.8442,38.93,$371,$96,467,,,
316882,23250294,SBEA,D,2024-05-03,UK,TA,59,61.2341,124.679,"$2,717","$2,656",5374,,,
316882,23250294,SBEA,D,2024-05-03,UK,TA,100,61.234,124.679,"$4,606","$4,503",9108,,,
316884,24250142,AMIN,D,2024-05-03,CA,PO,600,1.9504,6.09,"$2,794",$860,3654,,,
316885,24250169,AMIN,D,2024-05-03,CA,PI,100,21.5759,57.9,"$4,204","$1,586",5790,,,
316886,24250209,SGOY,D,2024-05-03,CA,TE,860,1.9504,7.3,"$5,045","$1,233",6278,,,
316889,24250283,SGOY,D,2024-05-03,CA,PO,6,46.8883,220,"$1,113",$207,1320,,,
316891,24250339,JAKI,D,2024-05-03,CA,NW,16,3.955,23.5,$329,$47,376,,,
24001557,24100616,MRHO,B,2024-05-02,US,NT,50,14.839,43.43,"$1,430",$742,2172,,,
24001557,24100616,MRHO,B,2024-05-02,US,NT,1,0,0,$58,$0,58,,,
24001558,24100841,DGAS,B,2024-05-02,US,PO,24,5.0263,38.61,$806,$121,927,,,
24001558,24100841,DGAS,B,2024-05-02,US,PO,1,0,0,$34,$0,34,,,
24001559,24100892,MWIS,B,2024-05-02,US,NT,72,13.3585,44.43,"$2,237",$962,3199,,,
24001560,24101028,OGAL,B,2024-05-02,US,NH,80,7.2508,41.12,"$2,710",$580,3290,,,
24001560,24101028,OGAL,B,2024-05-02,US,NH,1,0,0,$89,$0,89,,,
24001561,24101144,DGAS,B,2024-05-02,US,TE,60,2.9473,8.69,$345,$177,521,,,
24001561,24101144,DGAS,B,2024-05-02,US,TE,1,0,0,$0,$0,0,,,
24001562,24101160,MRHO,B,2024-05-02,US,PO,12,8.3342,45.79,$449,$100,549,,,
24001562,24101160,MRHO,B,2024-05-02,US,PO,1,0,0,$0,$0,0,,,
24001563,23103495,BHOU,B,2024-05-02,US,TC,1200,17.6982,20.57,"$3,446","$21,238",24684,,,
24001564,24100406,KTIE,B,2024-05-02,US,NW,400,28.8691,72.49,"$17,448","$11,548",28996,,,
24001565,24100409,KTIE,B,2024-05-02,US,NW,400,21.7095,38.47,"$6,704","$8,684",15388,,,
24001566,24100553,KTIE,B,2024-05-02,US,NW,63,10.2068,20.95,$677,$643,1320,,,
24001566,24100553,KTIE,B,2024-05-02,US,NW,1,0,0,$0,$0,0,,,
24001567,24100836,BHOU,B,2024-05-02,CA,IC,12,20.735,87.3,$799,$249,1048,,,
24001568,24100919,MWIS,B,2024-05-02,US,PO,100,4.801,9.39,$459,$480,939,,,
24001568,24100919,MWIS,B,2024-05-02,US,PO,1,0,0,$0,$0,0,,,
24001569,24101008,KTIE,B,2024-05-02,US,NW,24,30.795,115.5,"$2,033",$739,2772,,,
24001569,24101008,KTIE,B,2024-05-02,US,NW,4,19.3475,131,$447,$77,524,,,
24001569,24101008,KTIE,B,2024-05-02,US,NW,1,0,0,$77,$0,77,,,
24001570,24101151,MRHO,B,2024-05-02,US,NT,50,13.9674,39.65,"$1,284",$698,1983,,,
24001570,24101151,MRHO,B,2024-05-02,US,NT,1,0,0,$0,$0,0,,,
24001571,24101161,DGAS,B,2024-05-02,US,NM,1,0,866,$866,$0,866,,,
24001571,24101161,DGAS,B,2024-05-02,US,NM,1,0,0,$33,$0,33,,,
24001572,24101179,SGOY,B,2024-05-02,CA,TR,1,326.21,351.86,$26,$326,352,,,
24001573,24101180,SGOY,B,2024-05-02,CA,TR,7,326.21,351.86,$180,"$2,283",2463,,,
24001574,24101183,KTIE,B,2024-05-02,US,NW,10,22.05,62.7,$407,$221,627,,,
24001574,24101183,KTIE,B,2024-05-02,US,NW,1,0,0,$31,$0,31,,,
24001575,24101243,GXAV,B,2024-05-02,US,TR,1,109.62,166,$56,$110,166,,,
24001575,24101243,GXAV,B,2024-05-02,US,TR,1,0,0,$0,$0,0,,,
24400851,24200611,AMIN,T,2024-05-02,CA,PM,3,10.4367,93.68,$258,$23,281,,,
24400851,24200611,AMIN,T,2024-05-02,CA,PM,1,13.96,150,$140,$10,150,,,
24400851,24200611,AMIN,T,2024-05-02,CA,PM,1,16.78,150,$138,$12,150,,,
24400852,24200631,JAKI,T,2024-05-02,CA,NH,87,10.0793,57.04,"$4,318",$645,4962,,,
24400853,24200632,JAKI,T,2024-05-02,CA,NH,87,11.2157,57.04,"$4,245",$717,4962,,,
24400854,24200658,AMIN,T,2024-05-02,CA,PM,4,7.3675,46.5,$164,$22,186,,,
24400855,24200659,AMIN,T,2024-05-02,CA,PO,4,44.135,67.81,$141,$130,271,,,
316876,24250018,MRHO,D,2024-05-02,US,PI,16,96.255,478.321,"$4,458","$1,132",5591,,,
316877,24250069,WMOR,D,2024-05-02,CA,TE,12,0.265,0,-$2,$2,0,,,
316878,24250172,MWIS,D,2024-05-02,US,PO,10,57.597,187.266,$944,$424,1368,,,
316879,24250303,WMOR,D,2024-05-02,US,TE,2,24.48,0,-$36,$36,0,,,
316881,22250070,WMOR,D,2024-05-02,CA,TE,54,118.4643,259,"$9,282","$4,704",13986,,,
316883,24250133,WMOR,D,2024-05-02,CA,TE,70,115.713,400,"$22,044","$5,956",28000,,,
316887,24250228,DHOU,D,2024-05-02,AU,IC,16,10.6463,53.182,$496,$125,622,,,
316888,24250244,DHOU,D,2024-05-02,AU,IC,200,10.1366,22.094,"$1,737","$1,491",3228,,,
24001552,24101254,KTIE,B,2024-05-01,US,NW,1,279.26,659,$380,$279,659,,,
24001552,24101254,KTIE,B,2024-05-01,US,NW,1,0,0,$0,$0,0,,,
24001553,23103056,MRHO,B,2024-05-01,US,PS,250,1.9498,10,"$2,013",$487,2500,,,
24001553,23103056,MRHO,B,2024-05-01,US,PS,1,0,0,$0,$0,0,,,
24001554,24100147,BHOU,B,2024-05-01,US,TC,100,5.233,5.98,$75,$523,598,,,
24001555,24100741,MWIS,B,2024-05-01,US,OL,200,6.5021,10.58,$816,"$1,300",2116,,,
24001555,24100741,MWIS,B,2024-05-01,US,OL,1,0,0,$0,$0,0,,,
24001556,24101109,MRHO,B,2024-05-01,US,PI,32,2.4563,7.54,$163,$79,241,,,
24001556,24101109,MRHO,B,2024-05-01,US,PI,1,0,0,$0,$0,0,,,
24400843,23201793,THOU,T,2024-05-01,US,IC,144,30.3018,50.225,"$2,075","$3,208",5283,,,
24400844,23201804,SBEA,T,2024-05-01,US,TA,50,45.0046,78.287,"$1,205","$1,655",2860,,,
24400845,23201855,SBEA,T,2024-05-01,US,TA,5,1.3,21.629,$74,$5,79,,,
24400845,23201855,SBEA,T,2024-05-01,US,TA,45,1.2996,21.629,$668,$43,711,,,
24400845,23201855,SBEA,T,2024-05-01,US,TA,51,1.2996,21.629,$757,$49,806,,,
24400846,24200532,AMIN,T,2024-05-01,CA,PR,12,6.9025,93.85,"$1,065",$61,1126,,,
24400846,24200532,AMIN,T,2024-05-01,CA,PR,6,15.9267,218.22,"$1,239",$70,1309,,,
24400847,24200664,SGOY,T,2024-05-01,CA,PO,10,3.795,29.32,$265,$28,293,,,
24400848,24200670,SGOY,T,2024-05-01,CA,PO,2,45.16,75,$84,$66,150,,,
24400849,24200671,SGOY,T,2024-05-01,CA,PO,24,7.6246,45.53,$958,$135,1093,,,
24400850,24200704,SGOY,T,2024-05-01,CA,PP,20,22.388,49.92,$669,$329,998,,,
316863,23250433,SBEA,D,2024-05-01,US,TA,146,50.5056,81.915,"$3,315","$5,422",8737,,,
316864,24250022,WMOR,D,2024-05-01,CA,TE,656,17.982,78.1,"$42,560","$8,674",51234,,,
316865,24250103,SBEA,D,2024-05-01,US,TA,60,50.5057,82.736,"$1,398","$2,228",3626,,,
316866,24250139,MRHO,D,2024-05-01,US,PO,24,36.3758,186.567,"$2,629",$642,3271,,,
316867,24250149,SGOY,D,2024-05-01,CA,NH,36,126.9908,288.93,"$7,040","$3,362",10401,,,
316868,24250175,DGAS,D,2024-05-01,US,TR,20,8.2525,44.311,$526,$121,647,,,
316869,24250192,OGAL,D,2024-05-01,US,NH,10,149.697,462.688,"$2,279","$1,101",3380,,,
316869,24250192,OGAL,D,2024-05-01,US,NH,44,18.0332,106.774,"$2,849",$583,3432,,,
316869,24250192,OGAL,D,2024-05-01,US,NH,4,378.265,649.392,$785,"$1,113",1898,,,
316870,24250194,WMOR,D,2024-05-01,CA,TR,18,27.25,82.64,"$1,127",$361,1488,,,
316870,24250194,WMOR,D,2024-05-01,CA,TR,18,33.0133,114.54,"$1,625",$437,2062,,,
316870,24250194,WMOR,D,2024-05-01,CA,TR,18,28.7633,88.41,"$1,211",$381,1591,,,
316871,24250198,WMOR,D,2024-05-01,CA,TR,12,44.25,168.1,"$1,627",$390,2017,,,
316871,24250198,WMOR,D,2024-05-01,CA,TR,42,6.39,24.07,$814,$197,1011,,,
316872,24250236,DHOU,D,2024-05-01,US,IC,20,22.893,109.991,"$1,270",$337,1607,,,
316873,24250238,OGAL,D,2024-05-01,US,PO,8,1.78,25.434,$138,$10,149,,,
316873,24250238,OGAL,D,2024-05-01,US,PO,8,30.845,106.583,$441,$181,623,,,
316874,24250271,MRHO,D,2024-05-01,US,PO,36,12.7792,35.455,$594,$338,932,,,
316875,24250278,MRHO,D,2024-05-01,US,PO,36,11.1625,45.598,$904,$295,1199,,,
316880,24250341,SGOY,D,2024-05-01,CA,PO,1,828.68,2573,"$1,964",$609,2573,,,
24001510,23102167,GXAV,B,2024-04-30,US,TR,240,8.9006,24.46,"$3,734","$2,136",5870,,,
24001510,23102167,GXAV,B,2024-04-30,US,TR,1,0,0,$0,$0,0,,,
24001511,23102293,FBER,B,2024-04-30,US,NO,2000,7.0428,11.74,"$9,394","$14,086",23480,,,
24001512,23102612,GXAV,B,2024-04-30,US,TE,500,220,284.27,"$32,135","$110,000",142135,,,
